t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
11.84,-6.461422889270414,-3.35812773160734,13.168252607698209,0.9388296827091015,0.08617417571507252,0.015137814523990534,0.3330820993022484,-4.097418992679991,1.5473411808825777,-1.082218091552889,0.5912916167137711,0.11758298971215271,-9.813382455657214e-06,0.9335556773315545,-1.650247708826491,0.9002960576864893,-1.3976959674637524,0.17248964547527945,0.0006244145276449592,2.261927455592586,2.2864660914602473,2.0886577732896354,2.064407328742425,5.551607932474667,-5.080625481657108,5.260299468901053,-2.8227331583252635,9.20673852711218,-6.879653646763018
11.86,-6.543177632836413,-3.327517261643355,13.146794845715743,0.9382978626593227,0.09119410923113508,0.01818118104024556,0.3330918792562624,-4.077641197558979,1.513331900893844,-1.0631688650494908,0.5630604096513574,0.1213440803147639,3.236600809492754e-06,1.0439953903329524,-1.7499461554892903,1.0040873722338972,-1.4246919987292772,0.20356333930435927,0.0006799081215826531,2.2871476156851425,2.316092463357441,2.114453742344647,2.085822698420771,5.490689443554686,-4.884856272813209,5.11650736889635,-3.269112269776997,10.370182046415266,-7.499555287893145
11.88,-6.6245148109374,-3.2976066664397448,13.125738643686617,0.937760092988698,0.09593014627344357,0.021167234875853057,0.3330996295427164,-4.055667349851255,1.4773692601190103,-1.0420733455513087,0.5343258575880144,0.12572417551279363,1.7364562980803216e-05,1.15312745733398,-1.8454965290759517,1.104878864701675,-1.4481786677987718,0.2344227533788254,0.0007324163505079227,2.3116807673399022,2.3450008580587096,2.140028756370236,2.1070467039670477,5.420843311121359,-4.665818165161539,4.96031725560897,-3.7154972432063005,11.533627963800086,-8.11945728429464
11.9,-6.705390775210427,-3.2684341545114854,13.1051243120088,0.9372207900580933,0.10037610404447288,0.02410013740054015,0.3331081082726921,-4.031525388011126,1.4395408738004711,-1.0189940091027694,0.5051503233065949,0.1307207718240635,3.252114605998852e-05,1.2607733249314634,-1.9364334515348247,1.2024225748419326,-1.4689339281160785,0.26524822106565593,0.0007829697832645831,2.3354707941930375,2.373160919410698,2.165242206947883,2.127913452399422,5.342069503200264,-4.423511156925741,4.79172913081527,-4.16188159491071,12.697072948597565,-8.739360524145923
11.92,-6.785762471772297,-3.2400360889931106,13.084990861967313,0.9366841062592764,0.10452634228082408,0.02698423505685024,0.33312006830728347,-4.005246821556785,1.399943664739256,-0.9939982909541456,0.4755808574320191,0.1363350878918156,4.867704262450615e-05,1.3667544401307907,-2.0222915449918943,1.296470542087036,-1.4877108015794782,0.2962315541652244,0.0008325469512758315,2.358458544661692,2.4005408651455835,2.1899555982049095,2.148257530160068,5.254368060647607,-4.157935260096224,4.610742982080751,-4.6082641702582805,13.860517356079072,-9.35925807965532
11.94,-6.865587512640756,-3.212446801487559,13.06537590655008,0.9361539197134274,0.10837560140362332,0.029824042312439028,0.3331382507694586,-3.976866731066142,1.35868386329423,-0.9671585855624443,0.44564970877834004,0.1425722900801123,6.58232854258171e-05,1.470892249733069,-2.102605431519855,1.3867748064910757,-1.5052359209858868,0.3275762648567604,0.0008821678753394855,2.380582055686506,2.4271077640635395,2.21403300863814,2.1679144546651092,5.157738970140713,-3.8690904711202734,4.4173588253926255,-5.054643192892172,15.02396136388029,-9.979158122064291
11.96,-6.944824247155754,-3.1856984059150015,13.046315561263864,0.9356338280254876,0.11191884525459551,0.03262422853511965,0.333165381820709,-3.946423768179219,1.3158770073827153,-0.938552246590163,0.4153748420676746,0.14944173277132225,8.397077992930218e-05,1.5730082009923763,-2.176909733271337,1.4730874075752354,-1.5222117919159783,0.35949738448359525,0.0009328549176040434,2.4017770717932545,2.4528280209975404,2.23734126535227,2.1867208645714937,5.052182214804191,-3.5569767824483733,4.211576657198179,-5.501027189325214,16.187406570722374,-10.599057453930527
11.98,-7.023431833400627,-3.159820612361687,13.027844344950102,0.9351271450723319,0.11515110811500134,0.035389608681674026,0.3332041723119854,-3.9139601555977954,1.2716479424804472,-0.9082615869047572,0.3847604175078932,0.15695720865525697,0.000103150559354853,1.6729237405588293,-2.2447390722613036,1.5551603851271523,-1.539317339879126,0.392223629388716,0.0009855947058657645,2.421977269072105,2.477667898854234,2.2597503976802145,2.20451465776233,4.937697797302576,-3.221594194524613,3.9933964508520603,-5.947410564033362,17.350851777564458,-11.218958206882235
12.0,-7.101370309623382,-3.134840540928759,13.00999508060081,0.934636899795668,0.11806734561327922,0.038125137919794036,0.33325731994777497,-3.8795216870849636,1.2261308216215294,-0.8763738785825481,0.35379720502245215,0.16513721701411013,0.00012341348820178386,1.7704603154378162,-2.3056280705846532,1.6327457788456456,-1.5572129594176531,0.4259973876637624,0.0010413687768798426,2.4411149388869413,2.501594208145712,2.2811336057928306,2.2211349682772346,4.814285736287616,-2.8629427148985087,3.76281826142133,-6.3937934946523,18.51429645149949,-11.838860025648046
12.02,-7.178600665657897,-3.1107825355811007,12.992798796174455,0.934165836037616,0.12066228865522763,0.040835909997931436,0.3333275136127607,-3.8431577274653073,1.179469105398212,-0.8429813529023278,0.3224629190937562,0.1740052568131979,0.0001448307797885023,1.8654393725459073,-2.359111350331844,1.7055956283762441,-1.5765448319104591,0.46107659315946237,0.0011012272415089099,2.4591214808615214,2.524575082620023,2.301367408963333,2.236422065931681,4.681946028206596,-2.481022340017347,3.519842053378852,-6.840176869360448,19.677741303070206,-12.458762022049541
